ship_display,reviewer_tier,player_suitability_claim,ai_suitability_claim,claim_summary,timestamp_range,evidence_class,expectation_strength,review_status,requires_local_id_resolution,requires_mechanical_validation
Afflictor,B,PLAYER_HIGH,AI_LIMITED,Player extremely good; AI relegated to safer ship-system use.,0:34-0:54,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Apogee,C,UNKNOWN,UNKNOWN,"Good shields, flare launcher, flexible mounts; good all-rounder, limited endgame evidence.",0:56-1:20,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Astral,B,UNKNOWN,GOOD_WITH_BUILD,Performs well with Trident bombers and the right build.,1:22-1:46,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Atlas Mk.II,D,UNKNOWN,CONDITIONAL,Works mainly in massed firing-line setups; hard to use and command.,1:39-2:04,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Aurora,A,PLAYER_EXCELLENT,AI_GOOD,Especially strong with Safety Overrides/player control; AI can also do well.,2:04-2:23,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Brawler,D,UNKNOWN,UNKNOWN,Regular Brawler rated low overall.,2:28-2:34,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Brawler (LP),B,PLAYER_GOOD,AI_SWARM_GOOD,Built-in Safety Overrides; effective player-piloted or in groups.,2:31-2:53,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Centurion,C,UNKNOWN,GOOD,Good all-rounder and durable.,3:20-3:34,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Cerberus,D,UNKNOWN,DISPOSABLE,"Useful early, disposable, replace when better hulls appear.",3:39-3:52,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Champion,B,UNKNOWN,GOOD_WITH_BUILD,Can perform well even in endgame with the right build.,3:52-4:00,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Condor,C,UNKNOWN,GOOD,Solid light carrier reference point.,4:18-4:24,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Conquest,C,UNKNOWN,AVERAGE,Can perform well but is vulnerable to flanking/overflux.,4:39-4:59,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Dominator,B,UNKNOWN,GOOD,Recent experiments suggest it is underrated.,4:59-5:12,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Doom,B,PLAYER_EXCELLENT,AI_UNTRUSTED,Player can contribute huge damage; AI is not trusted.,5:12-5:29,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Drover,B,UNKNOWN,GOOD,Preferred over Condor by creator; B Deck and missile slots praised.,5:29-5:45,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Eagle,C,UNKNOWN,AVERAGE_GOOD,Average but reliable; build it and it works.,5:45-5:53,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Enforcer,C,UNKNOWN,GOOD_SUPPORT,Good straightforward support ship.,6:01-6:18,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Eradicator,A,PLAYER_GOOD,AI_GOOD,Creator almost always takes one; strong player or fleet ship.,6:18-6:30,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Eradicator (P),C,UNKNOWN,GOOD,Lower than regular due to loss of Accelerated Ammo Feeder.,6:30-6:38,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Executor,A,UNKNOWN,GOOD_WITH_BUILD,Properly built can fight all game content.,6:38-7:06,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Falcon,A,PLAYER_GOOD,AI_GOOD,Ballistic variants rated highly; usable into all fights.,7:06-7:22,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
Falcon (P),C,PLAYER_FUN,AI_UNKNOWN,Missile-heavy; strong early with many Reapers.,7:24-7:39,VIDEO_EXPLICIT_CLAIM,SOFT_EXPECTATION,PROVISIONAL_REVIEW_REQUIRED,True,True
